"pos","name","date","time","map"
"1","KroPP","10/05/14","38.903","ariejump35"
"1","Goblin","27/10/17","43.655","ariejump36"
"1","KroPP","01/06/14","33.497","ariejump37"
"1","KroPP","02/06/14","48.310","ariejump38"
"1","mazze","15/03/21","42.253","ariejump39"
"1","KroPP","30/01/16","17.932","ariejump4"
"1","Killa","23/01/19","31.437","ariejump40"
"1","KroPP","17/05/14","39.672","ariejump41"
"1","mazze","20/09/21","56.193","ariejump42"
"1","KroPP","19/12/12","31.936","ariejump43"
"1","Killa","14/01/19","8.163","ariejump44"
"1","Killa","08/02/19","30.465","ariejump45"
"1","KroPP","23/11/12","19.618","ariejump46"
"1","Killa","11/05/18","35.362","ariejump47"
"1","Killa","16/04/19","24.267","ariejump48"
"1","Killa","10/02/20","27.024","ariejump49"
"1","TwentyOne","05/07/21","52.631","ariejump5"
"1","Killa","23/05/19","30.509","ariejump50"
"1","Lofas","09/07/13","34.100","ariejump51"
"1","Goblin","28/10/15","41.612","ariejump52"
"1","Caboom","27/06/21","44.332","ariejump53"
"1","Lofas","14/04/15","40.979","ariejump54"
"1","Lofas","21/07/14","187.793","ariejump55"
"1","prd","28/12/17","21.642","ariejump56"
"1","KroPP","01/07/13","156.148","ariejump57"
"1","mazze","04/04/21","33.234","ariejump58"
"1","KroPP","23/06/14","35.457","ariejump6"
"1","KroPP","14/01/14","36.786","ariejump7"
"1","TwentyOne","20/12/21","33.633","ariejump8"
"1","KroPP","15/10/13","18.066","ariejump9"
"1","Killa","17/03/21","7.781","art"
"1","n00k!e","15/01/14","13.364","articjump22"
"1","Goblin","08/07/19","26.148","articjumpin4"
"1","prd","03/11/18","7.619","articjumping1"
"1","KroPP","02/07/14","17.147","articjumping2"
"1","TwentyOne","07/06/20","44.528","articjumping5"
"1","n00k!e","01/05/14","15.461","articjumping_3"
"1","dMnAiOuSDnUaSd","16/12/20","10.479","arvil"
"1","Killa","14/03/21","12.589","arvil_2"
"1","mazze","27/11/20","13.028","arvil_ice"
"1","Killa","06/08/21","11.798","as1"
"1","Killa","16/02/18","17.061","as10"
"1","sierrusek","01/11/20","25.652","as11"
"1","kallu","05/01/21","12.427","as12"
"1","n00k!e","27/03/15","14.570","as13"
"1","dMnAiOuSDnUaSd","29/11/20","18.710","as14"
"1","Goblin","15/10/19","13.036","as15"
"1","dMnAiOuSDnUaSd","17/06/20","12.935","as16"
"1","dMnAiOuSDnUaSd","02/06/21","17.596","as17"
"1","mazze","19/12/21","16.300","as18"
"1","dMnAiOuSDnUaSd","16/07/21","13.500","as2"
"1","dMnAiOuSDnUaSd","07/11/20","12.157","as3"
"1","kallu","16/01/21","6.091","as4"
"1","Goblin","20/11/17","15.581","as5"
"1","dMnAiOuSDnUaSd","17/06/20","4.253","as6"
"1","prd","18/11/15","4.214","as7"
"1","Killa","13/04/19","13.215","as8"
"1","Goblin","08/04/16","36.935","ashfuture"
"1","Killa","18/10/18","17.785","ashtonsjumps1"
"1","mazze","14/10/20","25.765","ashtonsjumps2a"
"1","Zifre","10/10/21","139.305","ashtonsjumps3"
"1","Lofas","29/10/13","199.511","ashtonsjumps4"
"1","nl-dex","06/02/20","38.386","ashtonsjumps5"
"1","mazze","18/06/21","35.068","astejumpz1"
"1","Lofas","31/07/15","9.913","atr_jump3"
"1","n00k!e","27/12/15","13.638","atr_kjump"
"1","yogurt","19/05/19","6.082","atr_kjump1"
"1","Killa","27/08/19","20.934","atr_kjump10"
"1","Killa","07/06/18","7.137","atr_kjump11"
"1","Lofas","06/10/14","3.704","atr_kjump2"
"1","Lofas","18/08/14","8.660","atr_kjump3"
"1","Killa","18/02/19","11.107","atr_kjump4"
"1","Killa","04/12/20","13.037","atr_kjump5"
"1","prd","08/10/18","43.646","atr_kjump6"
"1","APKIS","09/06/20","21.597","atr_kjump8"
"1","Killa","13/02/19","9.621","atr_kjump9"
"1","Caboom","14/11/21","69.837","azteklights"
"1","kallu","09/12/21","13.419","b-stk"
"1","Caboom","05/12/21","19.696","b0at10"
"1","mazze","25/06/21","61.213","b0at11"
"1","prd","27/01/18","21.788","b0at12"
"1","Goblin","09/01/20","11.094","b0at14"
"1","prd","12/12/17","18.066","b0at16"
"1","Killa","19/04/18","18.348","b0at17"
"1","Killa","26/11/18","4.779","b0at17_5"
"1","yogurt","26/05/20","16.759","b0at18"
"1","dMnAiOuSDnUaSd","18/12/20","20.972","b0at19"
"1","KroPP","08/07/14","17.600","b0at20"
"1","neoxotb","28/08/21","30.430","b0at21"
"1","Killa","29/07/21","6.160","b0at22"
"1","Killa","16/01/19","25.095","b0atnewb1"
"1","mazze","07/03/21","22.268","b0atnewb2"
"1","mazze","07/01/21","22.499","b0atnewb3"
"1","dMnAiOuSDnUaSd","14/01/21","11.909","b0atnewb4"
"1","Lofas","03/05/15","26.565","b0atnewb5"
"1","yogurt","11/02/20","6.680","baldyjump"
"1","OpkeZ","20/12/18","13.090","ballspillin"
"1","mazze","06/04/21","20.623","bas1cjump"
"1","GreenJumper","04/05/14","24.889","beachjumping"
"1","mazze","22/03/21","16.133","beanjump"
"1","Lofas","29/07/12","10.372","bibpro1"
"1","Goblin","05/02/19","9.154","bibpro2"
"1","dMnAiOuSDnUaSd","01/07/21","10.834","bibpro3"
"1","Killa","25/05/19","7.043","bibpro4"
"1","Goblin","07/09/17","11.257","bibpro5"
"1","kallu","16/03/21","5.638","bigjump"
"1","n00k!e","09/04/15","27.663","bigjump1"
"1","dMnAiOuSDnUaSd","21/01/21","58.900","bigrace"
"1","KroPP","05/07/13","33.629","bja"
"1","Caboom","22/10/21","56.968","bja2"
"1","dMnAiOuSDnUaSd","15/01/21","9.154","bjump"
"1","Killa","06/03/19","14.714","bjump1"
"1","Killa","10/03/18","25.106","bjump2"
"1","KroPP","26/11/14","62.164","bkjump1"
"1","mazze","12/08/21","71.830","bkjump10"
"1","Nykzi","24/03/21","85.970","bkjump11"
"1","nowicjusz","20/03/13","46.593","bkjump2"
"1","mazze","09/06/21","29.698","bkjump3"
"1","Killa","28/11/20","5.641","bkjump4"
"1","Killa","25/04/19","17.900","bkjump5"
"1","kallu","17/08/21","5.586","bkjump6"
"1","Lofas","25/07/13","5.998","bkjump7"
"1","Killa","23/07/21","5.612","bkjump8"
"1","KroPP","23/01/15","167.920","bkjump9"
"1","Goblin","28/02/19","17.106","blastjump"
"1","Killa","29/09/20","8.878","blastjump1"
"1","Caboom","03/07/21","55.565","blastjump2"
"1","KroPP","22/08/15","39.506","bleh1"
"1","Nykzi","05/03/21","30.627","bleh2"
"1","Nykzi","01/10/21","58.506","bleh3"
"1","KroPP","15/02/16","18.820","bleh4"
"1","KroPP","15/10/13","59.040","bleh5"
"1","mazze","13/11/20","3.592","bljp"
"1","Killa","10/12/18","24.146","bloodjumps"
"1","Lofas","19/07/14","11.994","bloodjumps2"
