"","pos","name","date","time","map"
"21400","1","KroPP","01/03/14","20.975","b0at10"
"21401","1","KroPP","01/03/14","62.278","b0at11"
"21402","1","prd","27/01/18","21.788","b0at12"
"21403","1","Lofas","01/03/14","12.117","b0at14"
"21404","1","prd","12/12/17","18.066","b0at16"
"21405","1","Lofas","24/11/14","18.399","b0at17"
"21406","1","prd","11/09/16","4.789","b0at17_5"
"21407","1","prd","21/10/17","17.004","b0at18"
"21408","1","Killa","17/02/18","21.277","b0at19"
"21409","1","KroPP","08/07/14","17.600","b0at20"
"21410","1","[3M.ROSS]","30/09/14","44.315","b0at21"
"21411","1","Lofas","17/08/15","6.553","b0at22"
"21413","1","KroPP","19/06/14","27.268","b0atnewb1"
"21414","1","KroPP","19/06/14","23.157","b0atnewb2"
"21415","1","KroPP","01/07/14","28.713","b0atnewb3"
"21416","1","ds.ads","03/05/15","11.940","b0atnewb4"
"21417","1","Lofas","03/05/15","26.565","b0atnewb5"
"21418","1","Casper","28/11/17","6.873","baldyjump"
"21420","1","APKIS","08/01/16","13.809","ballspillin"
"21422","1","Goblin","28/06/15","20.783","bas1cjump"
"21424","1","GreenJumper","04/05/14","24.889","beachjumping"
"21425","1","a2ha","10/01/16","19.497","beanjump"
"21427","1","Lofas","29/07/12","10.372","bibpro1"
"21429","1","Lofas","13/11/14","9.230","bibpro2"
"21431","1","KroPP","08/01/15","11.098","bibpro3"
"21433","1","n00k!e","11/05/13","7.092","bibpro4"
"21434","1","Goblin","07/09/17","11.257","bibpro5"
"21436","1","Lofas","15/09/14","5.731","bigjump"
"21438","1","n00k!e","09/04/15","27.663","bigjump1"
"21440","1","n00k!e","24/10/14","59.228","bigrace"
"21441","1","KroPP","05/07/13","33.629","bja"
"21443","1","n00k!e","11/05/13","60.371","bja2"
"21444","1","prd","17/01/17","9.533","bjump"
"21446","1","yogurt","09/09/17","18.263","bjump1"
"21448","1","Killa","10/03/18","25.106","bjump2"
"21450","1","KroPP","26/11/14","62.164","bkjump1"
"21451","1","}}Wetarded{{","10/05/13","74.481","bkjump10"
"21452","1","APKIS","19/01/18","136.215","bkjump11"
"21453","1","nowicjusz","20/03/13","46.593","bkjump2"
"21455","1","prd","21/10/17","32.579","bkjump3"
"21457","1","_PLAY_","18/02/16","5.756","bkjump4"
"21459","1","KroPP","07/05/14","18.820","bkjump5"
"21460","1","prd","08/03/18","5.897","bkjump6"
"21462","1","Lofas","25/07/13","5.998","bkjump7"
"21464","1","mule_0wnz","05/12/15","5.797","bkjump8"
"21466","1","KroPP","23/01/15","167.920","bkjump9"
"21467","1","Stoner","26/12/15","17.680","blastjump"
"21469","1","Lofas","07/01/17","8.909","blastjump1"
"21471","1","ace","08/02/16","59.786","blastjump2"
"21472","1","KroPP","22/08/15","39.506","bleh1"
"21474","1","n00k!e","14/03/14","30.813","bleh2"
"21476","1","KroPP","31/03/15","63.174","bleh3"
"21478","1","KroPP","15/02/16","18.820","bleh4"
"21480","1","KroPP","15/10/13","59.040","bleh5"
"21482","1","prd","12/09/16","3.622","bljp"
"21484","1","ds.ads","10/10/12","24.149","bloodjumps"
"21486","1","Lofas","19/07/14","11.994","bloodjumps2"
"21488","1","APKIS","24/07/15","11.886","bloodjumps3"
"21490","1","Caboom","17/10/17","47.673","bloodjumps4"
"21491","1","KroPP","05/06/14","21.259","bloodjumps5"
"21493","1","n00k!e","02/10/15","34.789","bluehardjumps1"
"21494","1","n00k!e","23/10/14","19.859","bluehardjumps2"
"21496","1","Killa","13/02/18","20.773","bluehardjumps3"
"21498","1","Lofas","14/03/14","28.495","bluehardjumps4"
"21500","1","Killa","02/01/13","10.532","bluejumps1"
"21502","1","KroPP","22/10/14","16.864","bluejumps2"
"21503","1","Goblin","26/08/17","10.643","bodyjumps"
"21505","1","n00k!e","21/07/14","37.866","br_jumping"
"21507","1","ds.ads","24/01/13","12.600","bridgejump"
"21509","1","n00k!e","08/10/15","17.909","brudny1o1"
"21511","1","n00k!e","23/10/14","105.194","brunixone_b9"
"21512","1","Killa","22/02/18","35.967","bubjump1"
"21513","1","KroPP","17/03/15","40.722","bubjump2"
"21514","1","yogurt","30/03/14","4.825","bubrun"
"21516","1","santher","28/09/12","27.512","bubspeed1"
"21518","1","Lofas","12/10/15","4.907","burn"
"21520","1","Lofas","06/03/14","23.766","bustajump"
"21521","1","Goblin","21/02/18","14.547","bw"
"21522","1","Goblin","21/12/17","72.301","bw2"
"21523","1","Lofas","04/05/14","58.000","bw3"
"21524","1","yogurt","03/10/17","44.837","bw3easy"
"21525","1","Lofas","07/05/14","60.434","bw4"
"21526","1","KroPP","15/10/15","15.733","byxjumpin1"
"21528","1","APKIS","27/07/15","30.531","byxjumpin2"
"21530","1","KroPP","03/11/14","28.663","c1"
"21531","1","Lofas","19/04/15","31.800","c1articwarehouse"
"21532","1","prd","02/03/18","27.222","c1jumps1"
"21534","1","Lofas","15/06/13","11.715","c1jumps10"
"21536","1","UniBG","01/11/12","8.864","c1jumps11a"
"21538","1","KroPP","01/12/12","22.865","c1jumps12"
"21539","1","APKIS","10/08/15","13.015","c1jumps13"
"21540","1","Castro","23/01/16","18.666","c1jumps14"
"21541","1","KroPP","25/08/13","36.401","c1jumps15"
"21542","1","prd","10/03/18","9.211","c1jumps16"
"21543","1","KroPP","23/11/14","17.778","c1jumps17"
"21544","1","n00k!e","21/12/15","26.981","c1jumps18"
"21545","1","prd","05/11/17","24.655","c1jumps19"
"21546","1","prd","06/02/16","8.321","c1jumps2"
"21548","1","KroPP","12/01/15","29.999","c1jumps20"
"21549","1","Killa","16/02/18","10.956","c1jumps21"
"21551","1","Lofas","17/05/15","26.710","c1jumps22"
"21553","1","KroPP","11/01/15","28.341","c1jumps23"
"21554","1","KroPP","11/01/15","20.548","c1jumps24"
"21556","1","prd","04/02/18","14.971","c1jumps25"
"21557","1","prd","11/01/18","12.055","c1jumps26"
"21559","1","n00k!e","19/05/14","15.268","c1jumps3"
"21561","1","ds.ads","16/12/17","9.026","c1jumps4"
"21563","1","Goblin","21/10/17","23.768","c1jumps5"
"21565","1","GreenJumper","09/08/14","7.168","c1jumps6"
"21567","1","Killa","13/01/18","20.306","c1jumps7"
"21569","1","Killa","16/01/18","13.326","c1jumps8"
"21570","1","n00k!e","14/03/14","12.792","c1jumps9"
"21571","1","KroPP","02/06/14","44.256","c1mm"
"21572","1","KroPP","02/04/15","20.112","c1speed24"
