"","id","comps","comp_score","1st","2nd","3rd","4th","5th","score","name"
"460",459,1,0,0,0,0,0,0,0,"grunwald-1410"
"947",946,1,0,0,0,0,0,0,0,"Grzexs"
"551",550,1,0,0,0,0,0,0,0,"guillotine"
"66",65,0,0,0,0,0,0,0,0,"Guir0"
"656",655,171,0,0,1,0,0,0,47,"Gusto"
"993",992,5,0,0,0,0,0,0,0,"Gx^djpoppz"
"874",873,1,0,0,0,0,0,0,0,"h1"
"130",129,0,0,0,0,0,0,0,0,"H4PPY"
"733",732,1,0,0,0,0,0,0,0,"haagan-dasz"
"321",320,1,0,0,0,0,0,0,0,"haha_gorky"
"314",313,1,0,0,0,0,0,0,0,"hahah"
"1014",1013,51,0,0,0,0,0,0,7,"hao"
"512",511,3,0,0,0,0,0,0,0,"harryclay"
"318",317,1,0,0,0,0,0,0,0,"Hasiu"
"972",971,17,0,0,0,0,0,0,0,"HaxIsGone"
"327",326,1,0,0,0,0,0,0,0,"Heat"
"293",292,1,0,0,0,0,0,0,0,"Heat_me-Jr."
"361",360,337,0,0,2,1,0,2,372,"heat_me.Jr"
