"","pos","name","date","time","map"
"111299","10","ace","06/12/16","7.281","njump2l33t"
"131232","12","ace","20/02/16","5.600","noname"
"81399","7","ace","09/08/16","35.074","novajump1"
"32965","2","ace","31/12/15","24.263","novajump2"
"32966","2","ace","08/09/17","10.830","novajump3"
"61555","5","ace","07/10/16","153.191","nwjump"
"81405","7","ace","02/02/17","96.663","omegajumps1"
"51808","4","ace","05/04/17","35.708","omegarace_01"
"61558","5","ace","28/06/15","17.966","omegarace_02"
"51811","4","ace","03/11/15","13.970","omegarace_03"
"71460","6","ace","04/02/17","47.481","omegarace_04"
"101353","9","ace","03/11/14","7.305","omegarace_05"
"81411","7","ace","17/05/15","22.099","omegarace_06"
"111317","10","ace","13/07/14","81.677","ordeerace1"
"42390","3","ace","08/10/14","40.738","owner5"
"51821","4","ace","27/07/15","28.721","owner7"
"61571","5","ace","09/09/17","38.224","pauljumps1"
"61573","5","ace","10/03/15","89.928","phxjump"
"111321","10","ace","24/03/16","7.041","phxjump11"
"71476","6","ace","05/11/14","21.608","phxjump12"
"51830","4","ace","30/11/15","15.293","phxjump13"
"81425","7","ace","04/05/15","13.275","phxjump14"
"61584","5","ace","21/01/16","20.540","phxjump23"
"42412","3","ace","27/10/15","80.644","phxjump24"
"61588","5","ace","22/12/15","15.932","phxjump27"
"71501","6","ace","10/02/17","29.853","phxjump39"
"61604","5","ace","26/04/17","117.321","phxjump41"
"81452","7","ace","26/02/18","116.106","phxjump42"
"101390","9","ace","21/11/14","6.644","phxjump43"
"51865","4","ace","26/03/17","57.539","phxjump5"
"61615","5","ace","11/06/15","17.451","phxjump54"
"61616","5","ace","03/11/16","70.913","phxjump55"
"61618","5","ace","06/01/15","14.146","phxjump6"
"51877","4","ace","03/05/15","8.241","phxnoob4"
"24917","1","ace","26/10/17","3.718","pimp1"
"101410","9","ace","06/02/15","2.628","pimp10"
"42460","3","ace","07/03/15","4.019","pimp2"
"61628","5","ace","28/01/16","3.829","pimp3"
"24925","1","ace","25/04/17","4.009","pimp4"
"42466","3","ace","09/09/17","3.168","pimp5"
"51888","4","ace","28/02/16","4.396","pimp6"
"131303","12","ace","22/01/16","3.179","pimp7"
"24933","1","ace","04/12/15","3.109","pimp8"
"101426","9","ace","30/05/14","27.583","pingujumpz1"
"51901","4","ace","24/06/15","13.472","piratejump"
"51903","4","ace","06/12/15","7.157","pjump1"
"33075","2","ace","15/11/14","3.837","platoj5"
"71548","6","ace","14/12/16","21.467","play1"
"51912","4","ace","25/12/17","21.127","play13"
"71553","6","ace","28/11/15","27.455","play14"
"101439","9","ace","18/06/15","16.066","play16"
"81507","7","ace","16/12/16","26.440","play4"
"91478","8","ace","03/11/14","56.019","play5_2"
"101448","9","ace","22/10/14","18.471","play7"
"33094","2","ace","29/03/17","53.958","play8"
"71566","6","ace","19/04/15","36.231","play9"
"141305","13","ace","18/12/16","16.801","playjump1"
"42522","3","ace","21/04/16","65.178","podjump"
"42524","3","ace","05/07/15","12.765","poejump1"
"71574","6","ace","12/08/17","149.841","poojumplv6"
"181155","17","ace","14/04/15","37.724","popsjmp10"
"131349","12","ace","09/05/14","21.695","popsjmp16"
"61684","5","ace","15/08/17","14.886","popsjmp17"
"121394","11","ace","24/08/17","13.213","popsjmp18a"
"101468","9","ace","05/11/15","15.868","popsjmp20"
"42542","3","ace","15/09/15","55.087","popsjmp3"
"71591","6","ace","21/02/16","5.755","popsjmp7"
"151291","14","ace","10/02/15","29.557","popsjumpin13"
"81545","7","ace","25/03/16","17.545","popsjumpin14"
"121408","11","ace","25/10/16","15.798","popsjumpin18"
"81550","7","ace","08/10/15","62.502","popsjumpin19"
"51972","4","ace","18/02/16","53.217","popsjumpin20"
"131368","12","ace","19/05/14","46.595","popsjumpin24"
"51978","4","ace","12/09/17","17.272","popsjumpin27"
"181178","17","ace","06/07/15","62.913","popsjumpin3"
"71615","6","ace","05/02/16","25.444","popsjumpin30"
"121421","11","ace","27/12/16","10.775","popsjumpin32"
"25060","1","ace","18/09/17","25.785","popsjumpin7"
"61729","5","ace","03/11/17","45.054","popsjumpin8"
"81573","7","ace","14/01/16","75.156","popsjumpin9"
"91544","8","ace","19/11/15","21.534","popsrace1"
"61732","5","ace","10/02/17","27.901","popsrace2"
"81578","7","ace","22/10/17","42.453","popsrace5"
"91552","8","ace","01/08/17","10.109","pprace"
"111471","10","ace","12/05/15","5.731","pprace_ice"
"91555","8","ace","25/05/14","17.173","prit_holyjump2"
"61745","5","ace","13/11/17","15.698","ps"
"111475","10","ace","12/11/17","19.417","ps2"
"52014","4","ace","27/10/17","28.454","ps5e"
"111479","10","ace","22/05/14","67.440","q2ctf2_race"
"121448","11","ace","07/02/14","76.176","q2dm1_huge_race"
"61758","5","ace","06/04/15","39.401","q2shi7"
"33693","2","ace","13/06/15","9.275","qdtjump1"
"52032","4","ace","28/12/15","31.430","quazjump4"
"81612","7","ace","03/11/17","7.178","quickjumpz4"
"81614","7","ace","13/04/16","4.146","quickjumpz6"
"61775","5","ace","15/02/17","8.109","quickjumpz8"
"42645","3","ace","03/11/15","13.483","qw_r_j1"
"61777","5","ace","18/10/15","10.273","qwerty1"
"33716","2","ace","16/10/14","30.597","qwerty3"
"111505","10","ace","30/10/14","6.036","qwestjump1"
"42654","3","ace","02/09/17","12.121","qwestjump3"
"52049","4","ace","23/10/15","9.708","qwestjump4"
"71678","6","ace","07/04/15","10.671","qwestjump5"
"42661","3","ace","22/11/14","36.366","r3_dj"
"61791","5","ace","02/11/16","6.519","r3_j3"
"81633","7","ace","02/03/18","4.399","r3_race"
"81634","7","ace","18/02/16","9.543","rajm1"
"71690","6","ace","08/04/17","11.083","rajm3"
"61797","5","ace","14/02/17","28.103","rajm4"
"42680","3","ace","29/12/17","20.052","ramap7"
"91612","8","ace","21/04/15","33.048","ramap9"
"141416","13","ace","11/03/17","16.365","ramps"
"52075","4","ace","20/01/17","28.737","rampspy"
"52076","4","ace","01/12/15","2.253","ramptest1"
"71706","6","ace","05/11/15","7.374","rare_j_2"
"42693","3","ace","24/10/15","4.566","rare_trick"
"71710","6","ace","04/04/16","30.086","rareclipzjump2"
"33777","2","ace","02/08/15","174.149","rareclipzjump4"
"121514","11","ace","19/10/14","13.076","rbjump1"
"61832","5","ace","03/08/15","34.868","rcjump1"
"91641","8","ace","08/10/15","39.320","redjump2"
"26024","1","ace","22/11/16","22.681","rekhanjump1"
"42728","3","ace","13/06/15","5.726","retractjump3"
"61849","5","ace","19/05/17","17.442","retractjump4"
"26032","1","ace","26/06/15","10.881","retractramp"
"111577","10","ace","08/11/14","37.508","rjump3"
"71750","6","ace","02/09/16","56.729","rjump4"
"52231","4","ace","18/09/17","118.156","rjump6"
"71754","6","ace","27/01/16","42.202","rjump9beta"
"33835","2","ace","21/08/17","16.846","rvnxdm7"
"131502","12","ace","19/05/14","215.239","sabrespookjump1"
"52241","4","ace","12/04/16","222.756","sabrespookjump2"
"111590","10","ace","10/09/14","5.111","secondz2"
"42760","3","ace","24/06/15","4.971","secondz4"
"101639","9","ace","18/10/15","7.307","secondz5"
"52252","4","ace","20/02/16","3.596","secondz6"
"141472","13","ace","09/06/15","5.843","secondz7"
"121559","11","ace","14/01/16","6.393","secondz8"
"42768","3","ace","08/11/15","10.617","segajump1"
"101645","9","ace","06/06/15","17.320","servermap1"
"26066","1","ace","08/02/15","4.387","servermap3"
"52263","4","ace","31/03/17","6.927","servermap4"
"26068","1","ace","01/04/17","4.353","servermap5"
"26069","1","ace","31/03/17","5.664","servermap6"
"52269","4","ace","07/10/14","7.667","servermap7"
"111606","10","ace","24/01/15","15.105","servermap8"
"131523","12","ace","25/05/14","45.095","sewurjumpz"
"52273","4","ace","25/08/17","13.652","sgm"
"52274","4","ace","22/09/17","13.308","shadow1"
"42790","3","ace","14/12/16","14.810","shais_jump2"
"191259","18","ace","27/06/15","42.175","shais_jump3"
"61906","5","ace","27/05/17","35.588","shoppingvally"
"61912","5","ace","13/08/15","15.565","sjump1"
"91708","8","ace","01/12/15","5.862","sk3lsjump1"
"111623","10","ace","14/04/15","18.910","sk3lsjump10"
"52293","4","ace","18/02/16","30.095","sk3lsjump11"
"61918","5","ace","05/06/14","64.823","sk3lsjump12"
"101672","9","ace","14/11/16","54.936","sk3lsjump13"
"42811","3","ace","28/11/15","30.650","sk3lsjump14"
"52299","4","ace","19/09/17","23.721","sk3lsjump17"
"91717","8","ace","18/09/17","30.468","sk3lsjump18"
"161415","15","ace","22/05/14","87.280","sk3lsjump2"
"42818","3","ace","11/12/14","27.495","sk3lsjump20"
"33916","2","ace","13/02/17","21.319","sk3lsjump22"
"26963","1","ace","02/05/17","66.299","sk3lsjump24"
"61935","5","ace","03/04/16","33.765","sk3lsjump29"
"61936","5","ace","04/04/16","12.875","sk3lsjump3"
"91730","8","ace","08/11/14","24.422","sk3lsjump30"
"52317","4","ace","31/10/16","67.967","sk3lsjump33"
"52321","4","ace","08/10/14","29.627","sk3lsjump37"
"42838","3","ace","27/05/16","104.158","sk3lsjump38"
"81774","7","ace","18/02/15","9.009","sk3lsjump4"
"42841","3","ace","15/07/16","69.898","sk3lsjump40"
"26989","1","ace","18/08/15","57.514","sk3lsjump41"
"33943","2","ace","06/02/17","177.982","sk3lsjump42"
"71836","6","ace","09/03/15","165.816","sk3lsjump45"
"61953","5","ace","04/11/16","85.658","sk3lsjump46"
"91744","8","ace","27/11/15","31.592","sk3lsjump47"
"81782","7","ace","08/04/17","28.385","sk3lsjump48"
"81783","7","ace","14/11/14","195.817","sk3lsjump49"
"42850","3","ace","04/04/16","12.891","sk3lsjump5"
"71842","6","ace","04/04/16","5.691","sk3lsjump6"
"161436","15","ace","17/11/14","9.184","sk3lsjump8"
"61961","5","ace","10/02/15","5.384","sk3lsjump9"
"71846","6","ace","29/08/17","97.937","sk3lslongjump1"
"81792","7","ace","13/05/15","16.365","sk8_jump5"
"33965","2","ace","04/03/18","11.668","skateandjump"
"27010","1","ace","14/04/17","3.590","skatejumps"
"42866","3","ace","11/05/16","9.840","skilljumpz2"
"101720","9","ace","11/06/15","4.720","skippingstones"
"61975","5","ace","17/01/16","20.987","slipknotjump"
"61977","5","ace","11/01/15","9.621","slipmap11"
"42880","3","ace","05/02/16","44.290","slipmap12"
"141553","13","ace","11/10/14","21.391","slipmap14a"
"27024","1","ace","11/05/16","9.884","slipmap15"
"71867","6","ace","11/01/15","9.450","slipmap17"
"42888","3","ace","07/04/15","33.348","slipmap18"
"81812","7","ace","16/02/16","3.992","slipmap19b"
"33997","2","ace","18/10/17","22.895","slipmap2"
"91776","8","ace","28/06/17","110.262","slipmap20"
"61991","5","ace","13/09/17","46.098","slipmap21"
"34003","2","ace","20/02/16","10.010","slipmap26"
"111693","10","ace","20/05/14","50.034","slipmap27b"
"27038","1","ace","16/05/17","27.214","slipmap29"
"42903","3","ace","02/11/16","161.107","slipmap32"
"81824","7","ace","10/01/15","10.028","slipmap33"
"52386","4","ace","23/11/17","17.690","slipmap34"
"91788","8","ace","05/12/17","31.118","slipmap36"
"191324","18","ace","11/12/14","23.567","slipmap37"
"101748","9","ace","17/10/14","52.190","slipmap38"
"171424","16","ace","09/02/15","24.632","slipmap39"
"52392","4","ace","14/11/14","21.821","slipmap3a"
"81832","7","ace","26/10/16","29.444","slipmap40"
